,TRASH_ID,TRASH_GEO_X,TRASH_GEO_Y
0,1,37.658439,55.790979
1,2,37.658411,55.790833
2,3,37.658587,55.791685
3,4,37.660237,55.791337
4,5,37.661796,55.79197
5,6,37.661937,55.790319
6,7,37.662502,55.788813
7,8,37.66277,55.789069
8,9,37.66262,55.788941
9,10,37.664077,55.789289
10,11,37.665859,55.789838
11,12,37.666557,55.791364
12,13,37.66721,55.790589
13,14,37.668849,55.79067
14,15,37.668358,55.790104
15,16,37.668868,55.788765
16,17,37.671248,55.78849
17,18,37.673098,55.788356
18,19,37.6759,55.787439
19,20,37.677182,55.787898
20,21,37.675261,55.788836
21,22,37.675543,55.789919
22,23,37.676739,55.790166
23,24,37.672997,55.791089
24,25,37.680956,55.790967
25,26,37.681318,55.790335
26,27,37.681382,55.790296
27,28,37.68209,55.790526
28,29,37.682608,55.790675
29,30,37.682395,55.790819
30,31,37.683539,55.791319
31,32,37.686376,55.794819
32,33,37.683548,55.795739
33,34,37.684069,55.796739
34,35,37.688425,55.797251
35,36,37.688458,55.79742
36,37,37.688512,55.797278
37,38,37.690429,55.79601
38,39,37.691199,55.794009
39,40,37.69336,55.794658
40,41,37.692601,55.792556
41,42,37.6916,55.79204
42,43,37.691518,55.79217
43,44,37.688236,55.79113
44,45,37.688296,55.791032
45,46,37.682185,55.788538
46,47,37.682852,55.787923
47,48,37.678279,55.78575
48,49,37.677337,55.785208
49,50,37.677287,55.785083
50,51,37.679129,55.785649
51,52,37.681149,55.786009
52,53,37.681899,55.786136
53,54,37.68195,55.786518
54,55,37.68333,55.785339
55,56,37.684496,55.785178
56,57,37.684844,55.784579
57,58,37.685939,55.784509
58,59,37.684099,55.787719
59,60,37.685315,55.786779
60,61,37.687611,55.786152
61,62,37.687308,55.785153
62,63,37.687179,55.785072
63,64,37.689707,55.784327
64,65,37.694495,55.783526
65,66,37.697148,55.784349
66,67,37.696942,55.784305
67,68,37.69624,55.784819
68,69,37.6953,55.78479
69,70,37.69715,55.78536
70,71,37.696884,55.785293
71,72,37.69692,55.78923
72,73,37.696908,55.789152
73,74,37.69587,55.790177
74,75,37.695801,55.790147
75,76,37.693877,55.791569
76,77,37.694551,55.794541
77,78,37.694419,55.794486
78,79,37.697409,55.794797
79,80,37.697278,55.794957
80,81,37.699739,55.79541
81,82,37.69551,55.796959
82,83,37.691326,55.798018
83,84,37.698129,55.79946
84,85,37.695382,55.799988
85,86,37.697074,55.800365
86,87,37.693553,55.80016
